Epoch 0, train loss 108.9138, val loss  482.9016
Epoch 300, train loss 23.2876, val loss  149.0692
Epoch 600, train loss 8.4300, val loss  83.3653
Epoch 900, train loss 5.1180, val loss  56.1018
Epoch 1200, train loss 4.2646, val loss  44.0922
Epoch 1500, train loss 3.7932, val loss  36.9221
Epoch 1800, train loss 3.4533, val loss  31.7526
Epoch 2100, train loss 3.1883, val loss  27.7077
Epoch 2400, train loss 2.9735, val loss  24.4140
Epoch 2700, train loss 2.7928, val loss  21.6646
Epoch 3000, train loss 2.6378, val loss  19.2864
Epoch 3300, train loss 2.5117, val loss  17.1756
Epoch 3600, train loss 2.4130, val loss  15.3474
Epoch 3900, train loss 2.3345, val loss  13.8070
Epoch 4200, train loss 2.2703, val loss  12.5171
Epoch 4500, train loss 2.2160, val loss  11.4317
Epoch 4800, train loss 2.1690, val loss  10.5089
Epoch 4999, train loss 2.1408, val loss  9.9684
